column,non_null,min,max
original_listed_time,123849,2023-12-05 21:08:53,2024-04-20 00:26:43
listed_time,123849,2024-03-24 21:50:14,2024-04-20 00:26:56
expiry,123849,2024-04-12 06:30:48,2024-10-17 00:26:36
closed_time,1073,2024-04-05 19:38:52,2024-04-19 21:28:27
