group,masculine_count,feminine_count,token_total,masculine_per_1000,feminine_per_1000,bias_score
entry,1559,1397,535864,2.9093202752937315,2.6070047624024006,0.30231551289133085
leadership,64,81,16374,3.908635641871259,4.946866984243312,-1.0382313423720526
mid,458,540,160760,2.8489674048270714,3.3590445384423986,-0.5100771336153271
senior,2389,2870,795002,3.0050238867323604,3.610053811185381,-0.6050299244530204
