group,masculine_count,feminine_count,token_total,masculine_per_1000,feminine_per_1000,bias_score
entry,1821,1684,623900,2.9187369770796603,2.699150504888604,0.2195864721910561
leadership,5661,4330,1317684,4.296174196544847,3.286068587005686,1.0101056095391607
mid,2137,2790,769121,2.7784964914493298,3.6275176467681938,-0.849021155318864
senior,6441,6615,2066579,3.1167451135427195,3.200942233517325,-0.08419711997460544
